rank,id,name,usd_mo,total,cost,permissiveness,availability,network,locations,performance,ops,top5_pct,mean_rank,confidence
48,linode,Akamai (Linode),24.0,29.41,29.4,25.5,88.0,66.9,81.6,82.5,100.0,0.0,47.4,high
49,lightsail,AWS Lightsail,24.0,29.41,29.4,14.5,88.0,50.6,80.9,73.5,100.0,0.0,47.3,high
50,shinjiru,Shinjiru,25.0,28.35,28.3,100.0,69.8,52.3,43.3,61.0,30.0,0.0,48.5,medium
51,hostwinds,Hostwinds,28.99,24.49,24.5,59.2,83.7,58.5,29.3,61.0,100.0,0.0,51.3,low
52,phoenixnap,phoenixNAP,30.0,23.6,23.6,41.8,100.0,79.6,61.2,87.5,100.0,0.0,52.0,low
53,gcp,Google Cloud (e2-medium),32.0,21.91,21.9,8.2,88.0,43.9,100.0,73.5,80.0,0.0,53.5,medium
54,njalla,Njalla,32.7,21.35,21.4,100.0,37.5,53.8,17.0,61.0,30.0,0.0,53.7,low
55,prq,PRQ,32.7,21.35,21.4,100.0,37.5,60.0,5.7,48.5,30.0,0.0,53.7,low
56,azure,Microsoft Azure (B2s),35.0,19.58,19.6,8.2,88.0,39.6,100.0,61.0,80.0,0.0,54.9,medium
57,latitude,Latitude.sh,110.0,13.46,13.5,60.0,81.7,89.2,75.6,100.0,75.0,0.0,56.7,low
